task_family,condition_label,noise_type,noise_size_target,n_trials,n_incorrect,distractor_adoptions,distractor_adoption_rate
arithmetic,noise_0,random_unrelated,0,10,1,0,0.0
arithmetic,random_250,random_unrelated,250,10,1,0,0.0
arithmetic,similar_250,similar_irrelevant,250,10,0,0,0.0
arithmetic,random_1000,random_unrelated,1000,10,1,0,0.0
arithmetic,similar_1000,similar_irrelevant,1000,10,2,0,0.0
arithmetic,random_4000,random_unrelated,4000,10,2,0,0.0
arithmetic,similar_4000,similar_irrelevant,4000,10,3,0,0.0
instruction,noise_0,random_unrelated,0,10,0,0,0.0
instruction,random_250,random_unrelated,250,10,0,0,0.0
instruction,similar_250,similar_irrelevant,250,10,0,0,0.0
instruction,random_1000,random_unrelated,1000,10,0,0,0.0
instruction,similar_1000,similar_irrelevant,1000,10,0,0,0.0
instruction,random_4000,random_unrelated,4000,10,0,0,0.0
instruction,similar_4000,similar_irrelevant,4000,10,0,0,0.0
logic,noise_0,random_unrelated,0,10,0,0,0.0
logic,random_250,random_unrelated,250,10,0,0,0.0
logic,similar_250,similar_irrelevant,250,10,0,0,0.0
logic,random_1000,random_unrelated,1000,10,0,0,0.0
logic,similar_1000,similar_irrelevant,1000,10,0,0,0.0
logic,random_4000,random_unrelated,4000,10,0,0,0.0
logic,similar_4000,similar_irrelevant,4000,10,0,0,0.0
retrieval,noise_0,random_unrelated,0,50,0,0,0.0
retrieval,random_250,random_unrelated,250,50,0,0,0.0
retrieval,similar_250,similar_irrelevant,250,50,9,9,0.18
retrieval,random_1000,random_unrelated,1000,50,0,0,0.0
retrieval,similar_1000,similar_irrelevant,1000,50,12,12,0.24
retrieval,random_4000,random_unrelated,4000,50,0,0,0.0
retrieval,similar_4000,similar_irrelevant,4000,50,3,3,0.06
